Past_PatTrans_Meth_Yr_Round,SweepVac,Year,Past_PatTrans_Year,Pasture,Pasture_patch_year,Pasture_patch,Temperature,Winds,OrdinalSamplingDate,HerbYesNo_alltime,TSH,HerbTreat_14-18,GrazingYesNo,GrazingTreat,StartTime,Order,Biomass_mg,Length,Width
RIE_N1_Sweep_2016_1,Sweep,2016,RIE_N_2016,RIE,RIE_N_2016,RIE_N,82,0,175,Yes,0.5,,No,None,12.48,orth,7.032982152,8.5,
RIE_N1_Sweep_2016_2,Sweep,2016,RIE_N_2016,RIE,RIE_N_2016,RIE_N,80,1,210,Yes,0.5,,No,None,12.6,orth,7.032982152,8.5,
RIE_N1_Vacuum_2016_2,Vacuum,2016,RIE_N_2016,RIE,RIE_N_2016,RIE_N,80,1,210,Yes,0.5,,No,None,12.6,orth,7.032982152,8.5,
RIE_N2_Sweep_2016_2,Sweep,2016,RIE_N_2016,RIE,RIE_N_2016,RIE_N,80,1,210,Yes,0.5,,No,None,10.22,orth,7.032982152,8.5,
RIE_N2_Vacuum_2016_2,Vacuum,2016,RIE_N_2016,RIE,RIE_N_2016,RIE_N,80,1,210,Yes,0.5,,No,None,10.22,orth,7.032982152,8.5,
RIE_W1_Sweep_2015_2,Sweep,2015,RIE_W_2015,RIE,RIE_W_2015,RIE_W,85,1,212,Yes,0.5,,No,None,13.03,orth,7.032982152,8.5,
RIE_W1_Sweep_2016_1,Sweep,2016,RIE_W_2016,RIE,RIE_W_2016,RIE_W,80,4,176,Yes,0.5,,No,None,13.58,orth,7.032982152,8.5,
RIE_W2_Sweep_2015_2,Sweep,2015,RIE_W_2015,RIE,RIE_W_2015,RIE_W,85,1,212,Yes,0.5,,No,None,13.3,orth,7.032982152,8.5,
RIE_W2_Sweep_2016_2,Sweep,2016,RIE_W_2016,RIE,RIE_W_2016,RIE_W,95,1,206,Yes,0.5,,No,None,15.2,orth,7.032982152,8.5,
RIE_W2_Vacuum_2015_2,Vacuum,2015,RIE_W_2015,RIE,RIE_W_2015,RIE_W,85,1,212,Yes,0.5,,No,None,13.3,orth,7.032982152,8.5,
RNR_W1_Sweep_2016_2,Sweep,2016,RNR_W_2016,RNR,RNR_W_2016,RNR_W,85,4,213,Yes,0.5,,No,None,12.15,orth,7.032982152,8.5,
RNR_W1_Sweep_2016_2,Sweep,2016,RNR_W_2016,RNR,RNR_W_2016,RNR_W,85,4,213,Yes,0.5,,No,None,12.15,orth,7.032982152,8.5,
RNR_W2_Sweep_2016_2,Sweep,2016,RNR_W_2016,RNR,RNR_W_2016,RNR_W,85,4,213,Yes,0.5,,No,None,12.52,orth,7.032982152,8.5,
KLN_C1_Sweep_2015_2,Sweep,2015,KLN_C_2015,KLN,KLN_C_2015,KLN_C,75,1,190,No,,,Yes,IES,11,orth,7.032982152,8.5,
KLN_C1_Sweep_2016_1,Sweep,2016,KLN_C_2016,KLN,KLN_C_2016,KLN_C,80,4,169,No,,,Yes,IES,13.52,orth,7.032982152,8.5,
KLN_C1_Sweep_2016_2,Sweep,2016,KLN_C_2016,KLN,KLN_C_2016,KLN_C,75,8,204,No,,,Yes,IES,10.9,orth,7.032982152,8.5,
KLN_C1_Sweep_2017_2,Sweep,2017,KLN_C_2017,KLN,KLN_C_2017,KLN_C,80,1,199,No,,,Yes,IES,9.53,orth,7.032982152,8.5,
KLN_C2_Sweep_2017_2,Sweep,2017,KLN_C_2017,KLN,KLN_C_2017,KLN_C,80,1,199,No,,,Yes,IES,10.27,orth,7.032982152,8.5,
KLN_C2_Vacuum_2016_2,Vacuum,2016,KLN_C_2016,KLN,KLN_C_2016,KLN_C,75,8,204,No,,,Yes,IES,11.92,orth,7.032982152,8.5,
KLN_C2_Vacuum_2017_2,Vacuum,2017,KLN_C_2017,KLN,KLN_C_2017,KLN_C,80,1,199,No,,,Yes,IES,10.27,orth,7.032982152,8.5,
KLN_E1_Sweep_2016_2,Sweep,2016,KLN_E_2016,KLN,KLN_E_2016,KLN_E,75,13,204,No,,,Yes,IES,10.58,orth,7.032982152,8.5,
KLN_E1_Sweep_2017_2,Sweep,2017,KLN_E_2017,KLN,KLN_E_2017,KLN_E,80,1,199,No,,,Yes,IES,10.77,orth,7.032982152,8.5,
KLN_E2_Sweep_2015_1,Sweep,2015,KLN_E_2015,KLN,KLN_E_2015,KLN_E,75,1,178,No,,,Yes,IES,10.42,orth,7.032982152,8.5,
KLN_E2_Sweep_2016_2,Sweep,2016,KLN_E_2016,KLN,KLN_E_2016,KLN_E,75,13,204,No,,,Yes,IES,12.32,orth,7.032982152,8.5,
KLN_E2_Vacuum_2016_2,Vacuum,2016,KLN_E_2016,KLN,KLN_E_2016,KLN_E,75,13,204,No,,,Yes,IES,12.32,orth,7.032982152,8.5,
KLN_W1_Sweep_2017_1,Sweep,2017,KLN_W_2017,KLN,KLN_W_2017,KLN_W,80,1,168,No,,,Yes,IES,11.03,orth,7.032982152,8.5,
KLN_W1_Sweep_2017_2,Sweep,2017,KLN_W_2017,KLN,KLN_W_2017,KLN_W,80,1,199,No,,,Yes,IES,9.78,orth,7.032982152,8.5,
KLN_W2_Sweep_2016_2,Sweep,2016,KLN_W_2016,KLN,KLN_W_2016,KLN_W,75,8,204,No,,,Yes,IES,11.6,orth,7.032982152,8.5,
KLN_W2_Sweep_2017_1,Sweep,2017,KLN_W_2017,KLN,KLN_W_2017,KLN_W,80,1,168,No,,,Yes,IES,11.23,orth,7.032982152,8.5,
KLN_W2_Sweep_2017_2,Sweep,2017,KLN_W_2017,KLN,KLN_W_2017,KLN_W,80,1,199,No,,,Yes,IES,10,orth,7.032982152,8.5,
KLN_W2_Vacuum_2017_2,Vacuum,2017,KLN_W_2017,KLN,KLN_W_2017,KLN_W,80,1,199,No,,,Yes,IES,10,orth,7.032982152,8.5,
KLT_E1_Sweep_2017_2,Sweep,2017,KLT_E_2017,KLT,KLT_E_2017,KLT_E,95,1,203,No,,,No,None,11.02,orth,7.032982152,8.5,
KLT_E1_Vacuum_2017_2,Vacuum,2017,KLT_E_2017,KLT,KLT_E_2017,KLT_E,95,1,203,No,,,No,None,11.02,orth,7.032982152,8.5,
KLT_E2_Sweep_2016_2,Sweep,2016,KLT_E_2016,KLT,KLT_E_2016,KLT_E,80,1,211,No,,,No,None,11.68,orth,7.032982152,8.5,
KLT_E2_Sweep_2017_2,Sweep,2017,KLT_E_2017,KLT,KLT_E_2017,KLT_E,95,1,203,No,,,No,None,11.67,orth,7.032982152,8.5,
KLT_E2_Vacuum_2016_2,Vacuum,2016,KLT_E_2016,KLT,KLT_E_2016,KLT_E,80,1,211,No,,,No,None,11.68,orth,7.032982152,8.5,
KLT_S1_Sweep_2016_1,Sweep,2016,KLT_S_2016,KLT,KLT_S_2016,KLT_S,70,1,183,No,,,No,None,12.7,orth,7.032982152,8.5,
KLT_S1_Sweep_2016_2,Sweep,2016,KLT_S_2016,KLT,KLT_S_2016,KLT_S,80,1,211,No,,,No,None,12.58,orth,7.032982152,8.5,
KLT_S2_Sweep_2016_2,Sweep,2016,KLT_S_2016,KLT,KLT_S_2016,KLT_S,80,1,211,No,,,No,None,12.97,orth,7.032982152,8.5,
KLT_S2_Sweep_2017_1,Sweep,2017,KLT_S_2017,KLT,KLT_S_2017,KLT_S,85,4,163,No,,,No,None,11,orth,7.032982152,8.5,
KLT_S2_Sweep_2017_2,Sweep,2017,KLT_S_2017,KLT,KLT_S_2017,KLT_S,95,1,203,No,,,No,None,12.02,orth,7.032982152,8.5,
KLT_W1_Sweep_2016_1,Sweep,2016,KLT_W_2016,KLT,KLT_W_2016,KLT_W,70,1,183,No,,,No,None,11.5,orth,7.032982152,8.5,
KLT_W1_Sweep_2016_2,Sweep,2016,KLT_W_2016,KLT,KLT_W_2016,KLT_W,80,1,211,No,,,No,None,10.87,orth,7.032982152,8.5,
KLT_W1_Sweep_2017_2,Sweep,2017,KLT_W_2017,KLT,KLT_W_2017,KLT_W,95,1,203,No,,,No,None,10.78,orth,7.032982152,8.5,
KLT_W1_Vacuum_2017_2,Vacuum,2017,KLT_W_2017,KLT,KLT_W_2017,KLT_W,95,1,203,No,,,No,None,10.78,orth,7.032982152,8.5,
KLT_W2_Sweep_2017_2,Sweep,2017,KLT_W_2017,KLT,KLT_W_2017,KLT_W,95,1,203,No,,,No,None,11.5,orth,7.032982152,8.5,
KLT_W2_Vacuum_2016_2,Vacuum,2016,KLT_W_2016,KLT,KLT_W_2016,KLT_W,80,1,211,No,,,No,None,12.05,orth,7.032982152,8.5,
PAW_E1_Sweep_2015_1,Sweep,2015,PAW_E_2015,PAW,PAW_E_2015,PAW_E,80,1,181,No,,,No,None,16.18,orth,7.032982152,8.5,
PAW_E1_Sweep_2015_2,Sweep,2015,PAW_E_2015,PAW,PAW_E_2015,PAW_E,75,1,215,No,,,No,None,11.83,orth,7.032982152,8.5,
PAW_E1_Sweep_2016_1,Sweep,2016,PAW_E_2016,PAW,PAW_E_2016,PAW_E,90,0,179,No,,,No,None,12.52,orth,7.032982152,8.5,
PAW_E1_Sweep_2016_2,Sweep,2016,PAW_E_2016,PAW,PAW_E_2016,PAW_E,90,1,217,No,,,No,None,11.37,orth,7.032982152,8.5,
PAW_E2_Sweep_2015_1,Sweep,2015,PAW_E_2015,PAW,PAW_E_2015,PAW_E,80,1,181,No,,,No,None,16.53,orth,7.032982152,8.5,
PAW_E2_Sweep_2015_2,Sweep,2015,PAW_E_2015,PAW,PAW_E_2015,PAW_E,75,1,219,No,,,No,None,11,orth,7.032982152,8.5,
PAW_E2_Sweep_2016_1,Sweep,2016,PAW_E_2016,PAW,PAW_E_2016,PAW_E,90,0,179,No,,,No,None,11.87,orth,7.032982152,8.5,
PAW_E2_Sweep_2016_2,Sweep,2016,PAW_E_2016,PAW,PAW_E_2016,PAW_E,90,1,217,No,,,No,None,11.78,orth,7.032982152,8.5,
PAW_E2_Vacuum_2015_2,Vacuum,2015,PAW_E_2015,PAW,PAW_E_2015,PAW_E,75,1,219,No,,,No,None,11,orth,7.032982152,8.5,
PAW_E2_Vacuum_2016_1,Vacuum,2016,PAW_E_2016,PAW,PAW_E_2016,PAW_E,90,0,179,No,,,No,None,11.87,orth,7.032982152,8.5,
PAW_E2_Vacuum_2016_2,Vacuum,2016,PAW_E_2016,PAW,PAW_E_2016,PAW_E,90,1,217,No,,,No,None,11.78,orth,7.032982152,8.5,
PAW_S1_Sweep_2015_2,Sweep,2015,PAW_S_2015,PAW,PAW_S_2015,PAW_S,75,1,215,No,,,No,None,10.65,orth,7.032982152,8.5,
PAW_S1_Sweep_2016_1,Sweep,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,86,0,179,No,,,No,None,14.15,orth,7.032982152,8.5,
PAW_S1_Sweep_2016_2,Sweep,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,90,1,217,No,,,No,None,12.25,orth,7.032982152,8.5,
PAW_S2_Sweep_2015_2,Sweep,2015,PAW_S_2015,PAW,PAW_S_2015,PAW_S,75,1,215,No,,,No,None,12.67,orth,7.032982152,8.5,
PAW_S2_Sweep_2016_1,Sweep,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,86,0,179,No,,,No,None,11.15,orth,7.032982152,8.5,
PAW_S2_Sweep_2016_2,Sweep,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,90,1,217,No,,,No,None,12.93,orth,7.032982152,8.5,
PAW_W1_Sweep_2015_1,Sweep,2015,PAW_W_2015,PAW,PAW_W_2015,PAW_W,80,1,181,No,,,No,None,15.35,orth,7.032982152,8.5,
PAW_W1_Sweep_2015_2,Sweep,2015,PAW_W_2015,PAW,PAW_W_2015,PAW_W,75,1,215,No,,,No,None,11.08,orth,7.032982152,8.5,
PAW_W1_Sweep_2016_1,Sweep,2016,PAW_W_2016,PAW,PAW_W_2016,PAW_W,95,0,179,No,,,No,None,13.73,orth,7.032982152,8.5,
PAW_W1_Sweep_2016_2,Sweep,2016,PAW_W_2016,PAW,PAW_W_2016,PAW_W,90,1,217,No,,,No,None,10.25,orth,7.032982152,8.5,
PAW_W1_Vacuum_2016_2,Vacuum,2016,PAW_W_2016,PAW,PAW_W_2016,PAW_W,90,1,217,No,,,No,None,10.25,orth,7.032982152,8.5,
PAW_W2_Sweep_2015_1,Sweep,2015,PAW_W_2015,PAW,PAW_W_2015,PAW_W,80,1,181,No,,,No,None,15.68,orth,7.032982152,8.5,
PAW_W2_Sweep_2015_2,Sweep,2015,PAW_W_2015,PAW,PAW_W_2015,PAW_W,75,1,215,No,,,No,None,11.5,orth,7.032982152,8.5,
PYN_N1_Sweep_2015_2,Sweep,2015,PYN_N_2015,PYN,PYN_N_2015,PYN_N,80,4,210,No,,,Yes,IES,12.62,orth,7.032982152,8.5,
PYN_N1_Sweep_2017_2,Sweep,2017,PYN_N_2017,PYN,PYN_N_2017,PYN_N,105,4,201,No,,,Yes,IES,12.93,orth,7.032982152,8.5,
PYN_N1_Vacuum_2015_2,Vacuum,2015,PYN_N_2015,PYN,PYN_N_2015,PYN_N,80,4,210,No,,,Yes,IES,12.62,orth,7.032982152,8.5,
PYN_N2_Sweep_2016_2,Sweep,2016,PYN_N_2016,PYN,PYN_N_2016,PYN_N,95,1,205,No,,,Yes,IES,11.2,orth,7.032982152,8.5,
PYN_N2_Sweep_2016_2,Sweep,2016,PYN_N_2016,PYN,PYN_N_2016,PYN_N,95,1,205,No,,,Yes,IES,9.05,orth,7.032982152,8.5,
PYN_N2_Sweep_2017_2,Sweep,2017,PYN_N_2017,PYN,PYN_N_2017,PYN_N,105,4,201,No,,,Yes,IES,12.63,orth,7.032982152,8.5,
PYN_N2_Vacuum_2015_2,Vacuum,2015,PYN_N_2015,PYN,PYN_N_2015,PYN_N,80,4,210,No,,,Yes,IES,11.7,orth,7.032982152,8.5,
PYN_N2_Vacuum_2017_2,Vacuum,2017,PYN_N_2017,PYN,PYN_N_2017,PYN_N,105,4,201,No,,,Yes,IES,12.63,orth,7.032982152,8.5,
PYN_S1_Sweep_2016_2,Sweep,2016,PYN_S_2016,PYN,PYN_S_2016,PYN_S,95,1,205,No,,,Yes,IES,9.3,orth,7.032982152,8.5,
PYN_S1_Vacuum_2016_2,Vacuum,2016,PYN_S_2016,PYN,PYN_S_2016,PYN_S,95,1,205,No,,,Yes,IES,9.3,orth,7.032982152,8.5,
PYN_S1_Vacuum_2017_2,Vacuum,2017,PYN_S_2017,PYN,PYN_S_2017,PYN_S,100,4,201,No,,,Yes,IES,12.22,orth,7.032982152,8.5,
PYN_S2_Sweep_2016_2,Sweep,2016,PYN_S_2016,PYN,PYN_S_2016,PYN_S,95,1,205,No,,,Yes,IES,9.52,orth,7.032982152,8.5,
PYN_S2_Sweep_2017_2,Sweep,2017,PYN_S_2017,PYN,PYN_S_2017,PYN_S,100,4,201,No,,,Yes,IES,12.43,orth,7.032982152,8.5,
PYN_S2_Vacuum_2015_1,Vacuum,2015,PYN_S_2015,PYN,PYN_S_2015,PYN_S,85,1,173,No,,,Yes,IES,12.82,orth,7.032982152,8.5,
PYN_S2_Vacuum_2017_2,Vacuum,2017,PYN_S_2017,PYN,PYN_S_2017,PYN_S,100,4,201,No,,,Yes,IES,12.43,orth,7.032982152,8.5,
PYN_W1_Sweep_2015_2,Sweep,2015,PYN_W_2015,PYN,PYN_W_2015,PYN_W,80,4,210,No,,,Yes,IES,13.02,orth,7.032982152,8.5,
PYN_W1_Sweep_2017_2,Sweep,2017,PYN_W_2017,PYN,PYN_W_2017,PYN_W,100,4,201,No,,,Yes,IES,11.65,orth,7.032982152,8.5,
PYN_W1_Vacuum_2016_2,Vacuum,2016,PYN_W_2016,PYN,PYN_W_2016,PYN_W,95,1,205,No,,,Yes,IES,9.98,orth,7.032982152,8.5,
PYN_W2_Sweep_2015_2,Sweep,2015,PYN_W_2015,PYN,PYN_W_2015,PYN_W,80,4,210,No,,,Yes,IES,13.32,orth,7.032982152,8.5,
PYN_W2_Sweep_2016_1,Sweep,2016,PYN_W_2016,PYN,PYN_W_2016,PYN_W,85,8,174,No,,,Yes,IES,12.55,orth,7.032982152,8.5,
PYN_W2_Vacuum_2016_2,Vacuum,2016,PYN_W_2016,PYN,PYN_W_2016,PYN_W,95,1,205,No,,,Yes,IES,10.25,orth,7.032982152,8.5,
PYS_N1_Sweep_2015_2,Sweep,2015,PYS_N_2015,PYS,PYS_N_2015,PYS_N,80,0,213,No,,,Yes,SLS,10.47,orth,7.032982152,8.5,
PYS_N1_Sweep_2016_1,Sweep,2016,PYS_N_2016,PYS,PYS_N_2016,PYS_N,82,0,182,No,,,Yes,SLS,11.48,orth,7.032982152,8.5,
PYS_N1_Sweep_2016_2,Sweep,2016,PYS_N_2016,PYS,PYS_N_2016,PYS_N,80,4,202,No,,,Yes,SLS,11.2,orth,7.032982152,8.5,
PYS_N2_Sweep_2016_1,Sweep,2016,PYS_N_2016,PYS,PYS_N_2016,PYS_N,82,0,182,No,,,Yes,SLS,11.13,orth,7.032982152,8.5,
PYS_N2_Sweep_2017_2,Sweep,2017,PYS_N_2017,PYS,PYS_N_2017,PYS_N,95,0,201,No,,,Yes,SLS,10.87,orth,7.032982152,8.5,
PYS_N2_Vacuum_2016_1,Vacuum,2016,PYS_N_2016,PYS,PYS_N_2016,PYS_N,82,0,182,No,,,Yes,SLS,11.13,orth,7.032982152,8.5,
PYS_N2_Vacuum_2016_2,Vacuum,2016,PYS_N_2016,PYS,PYS_N_2016,PYS_N,80,4,202,No,,,Yes,SLS,10.87,orth,7.032982152,8.5,
PYS_N2_Vacuum_2017_1,Vacuum,2017,PYS_N_2017,PYS,PYS_N_2017,PYS_N,80,8,164,No,,,Yes,SLS,11.3,orth,7.032982152,8.5,
PYS_S1_Sweep_2016_2,Sweep,2016,PYS_S_2016,PYS,PYS_S_2016,PYS_S,85,0,209,No,,,Yes,SLS,10.6,orth,7.032982152,8.5,
PYS_S1_Sweep_2017_2,Sweep,2017,PYS_S_2017,PYS,PYS_S_2017,PYS_S,95,0,201,No,,,Yes,SLS,9.72,orth,7.032982152,8.5,
PYS_S1_Vacuum_2016_1,Vacuum,2016,PYS_S_2016,PYS,PYS_S_2016,PYS_S,82,0,182,No,,,Yes,SLS,9.83,orth,7.032982152,8.5,
PYS_S2_Sweep_2016_1,Sweep,2016,PYS_S_2016,PYS,PYS_S_2016,PYS_S,82,0,182,No,,,Yes,SLS,10.17,orth,7.032982152,8.5,
PYS_S2_Sweep_2017_2,Sweep,2017,PYS_S_2017,PYS,PYS_S_2017,PYS_S,95,0,201,No,,,Yes,SLS,9.95,orth,7.032982152,8.5,
PYS_S2_Vacuum_2016_2,Vacuum,2016,PYS_S_2016,PYS,PYS_S_2016,PYS_S,85,0,209,No,,,Yes,SLS,11,orth,7.032982152,8.5,
PYS_W1_Sweep_2016_1,Sweep,2016,PYS_W_2016,PYS,PYS_W_2016,PYS_W,78,1,186,No,,,Yes,SLS,4.8,orth,7.032982152,8.5,
PYS_W1_Sweep_2017_2,Sweep,2017,PYS_W_2017,PYS,PYS_W_2017,PYS_W,95,0,201,No,,,Yes,SLS,10.18,orth,7.032982152,8.5,
PYS_W1_Vacuum_2017_2,Vacuum,2017,PYS_W_2017,PYS,PYS_W_2017,PYS_W,95,0,201,No,,,Yes,SLS,10.18,orth,7.032982152,8.5,
PYS_W2_Sweep_2016_1,Sweep,2016,PYS_W_2016,PYS,PYS_W_2016,PYS_W,82,0,182,No,,,Yes,SLS,11.92,orth,7.032982152,8.5,
PYS_W2_Sweep_2017_2,Sweep,2017,PYS_W_2017,PYS,PYS_W_2017,PYS_W,95,0,201,No,,,Yes,SLS,10.38,orth,7.032982152,8.5,
PYS_W2_Vacuum_2016_2,Vacuum,2016,PYS_W_2016,PYS,PYS_W_2016,PYS_W,80,4,202,No,,,Yes,SLS,10.55,orth,7.032982152,8.5,
RIE_N1_Vacuum_2015_2,Vacuum,2015,RIE_N_2015,RIE,RIE_N_2015,RIE_N,85,1,212,No,,,No,None,12.17,orth,7.032982152,8.5,
RIE_N2_Sweep_2015_2,Sweep,2015,RIE_N_2015,RIE,RIE_N_2015,RIE_N,85,1,212,No,,,No,None,12.6,orth,7.032982152,8.5,
RIE_N2_Vacuum_2015_2,Vacuum,2015,RIE_N_2015,RIE,RIE_N_2015,RIE_N,85,1,212,No,,,No,None,12.6,orth,7.032982152,8.5,
RIN_E1_Sweep_2015_1,Sweep,2015,RIN_E_2015,RIN,RIN_E_2015,RIN_E,70,0,168,No,,,No,None,10.75,orth,7.032982152,8.5,
RIN_E1_Sweep_2016_1,Sweep,2016,RIN_E_2016,RIN,RIN_E_2016,RIN_E,80,1,176,No,,,No,None,11.92,orth,7.032982152,8.5,
RIN_E1_Sweep_2016_2,Sweep,2016,RIN_E_2016,RIN,RIN_E_2016,RIN_E,85,0,207,No,,,No,None,11.18,orth,7.032982152,8.5,
RIN_E1_Vacuum_2016_2,Vacuum,2016,RIN_E_2016,RIN,RIN_E_2016,RIN_E,85,0,207,No,,,No,None,11.18,orth,7.032982152,8.5,
RIN_E2_Sweep_2016_1,Sweep,2016,RIN_E_2016,RIN,RIN_E_2016,RIN_E,80,1,176,No,,,No,None,12.3,orth,7.032982152,8.5,
RIN_E2_Sweep_2016_2,Sweep,2016,RIN_E_2016,RIN,RIN_E_2016,RIN_E,85,0,207,No,,,No,None,11.53,orth,7.032982152,8.5,
RIN_E2_Vacuum_2016_2,Vacuum,2016,RIN_E_2016,RIN,RIN_E_2016,RIN_E,85,0,207,No,,,No,None,11.53,orth,7.032982152,8.5,
RIN_S1_Sweep_2015_1,Sweep,2015,RIN_S_2015,RIN,RIN_S_2015,RIN_S,70,4,168,No,,,No,None,11.67,orth,7.032982152,8.5,
RIN_S1_Sweep_2015_2,Sweep,2015,RIN_S_2015,RIN,RIN_S_2015,RIN_S,80,0,204,No,,,No,None,11.52,orth,7.032982152,8.5,
RIN_S1_Sweep_2016_1,Sweep,2016,RIN_S_2016,RIN,RIN_S_2016,RIN_S,80,1,176,No,,,No,None,11.57,orth,7.032982152,8.5,
RIN_S1_Sweep_2016_2,Sweep,2016,RIN_S_2016,RIN,RIN_S_2016,RIN_S,85,0,207,No,,,No,None,13.17,orth,7.032982152,8.5,
RIN_S2_Sweep_2015_1,Sweep,2015,RIN_S_2015,RIN,RIN_S_2015,RIN_S,70,4,168,No,,,No,None,11.33,orth,7.032982152,8.5,
RIN_S2_Sweep_2016_2,Sweep,2016,RIN_S_2016,RIN,RIN_S_2016,RIN_S,85,0,207,No,,,No,None,12.82,orth,7.032982152,8.5,
RIN_W1_Sweep_2016_2,Sweep,2016,RIN_W_2016,RIN,RIN_W_2016,RIN_W,85,0,207,No,,,No,None,11.9,orth,7.032982152,8.5,
RIN_W2_Sweep_2015_2,Sweep,2015,RIN_W_2015,RIN,RIN_W_2015,RIN_W,80,0,204,No,,,No,None,12.33,orth,7.032982152,8.5,
RIN_W2_Sweep_2016_2,Sweep,2016,RIN_W_2016,RIN,RIN_W_2016,RIN_W,85,0,207,No,,,No,None,12.33,orth,7.032982152,8.5,
RIN_W2_Sweep_2017_2,Sweep,2017,RIN_W_2017,RIN,RIN_W_2017,RIN_W,75,4,206,No,,,No,None,10.37,orth,7.032982152,8.5,
RIN_W2_Vacuum_2016_1,Vacuum,2016,RIN_W_2016,RIN,RIN_W_2016,RIN_W,80,1,176,No,,,No,None,10.73,orth,7.032982152,8.5,
RIS_C1_Sweep_2015_2,Sweep,2015,RIS_C_2015,RIS,RIS_C_2015,RIS_C,85,1,209,No,,,Yes,SLS,11.5,orth,7.032982152,8.5,
RIS_C1_Sweep_2016_1,Sweep,2016,RIS_C_2016,RIS,RIS_C_2016,RIS_C,90,1,188,No,,,Yes,SLS,15.13,orth,7.032982152,8.5,
RIS_C1_Sweep_2017_2,Sweep,2017,RIS_C_2017,RIS,RIS_C_2017,RIS_C,80,8,188,No,,,Yes,SLS,11.3,orth,7.032982152,8.5,
RIS_C2_Vacuum_2015_2,Vacuum,2015,RIS_C_2015,RIS,RIS_C_2015,RIS_C,85,1,209,No,,,Yes,SLS,11.87,orth,7.032982152,8.5,
RIS_N1_Vacuum_2016_2,Vacuum,2016,RIS_N_2016,RIS,RIS_N_2016,RIS_N,88,4,218,No,,,Yes,SLS,14.82,orth,7.032982152,8.5,
RIS_N2_Sweep_2015_1,Sweep,2015,RIS_N_2015,RIS,RIS_N_2015,RIS_N,71,1,167,No,,,Yes,SLS,13.37,orth,7.032982152,8.5,
RIS_N2_Vacuum_2016_2,Vacuum,2016,RIS_N_2016,RIS,RIS_N_2016,RIS_N,88,4,218,No,,,Yes,SLS,15.17,orth,7.032982152,8.5,
RIS_S1_Sweep_2015_2,Sweep,2015,RIS_S_2015,RIS,RIS_S_2015,RIS_S,85,1,209,No,,,Yes,SLS,11.18,orth,7.032982152,8.5,
RIS_S1_Sweep_2016_1,Sweep,2016,RIS_S_2016,RIS,RIS_S_2016,RIS_S,90,1,188,No,,,Yes,SLS,14,orth,7.032982152,8.5,
RIS_S1_Vacuum_2015_1,Vacuum,2015,RIS_S_2015,RIS,RIS_S_2015,RIS_S,85,0,155,No,,,Yes,SLS,14.37,orth,7.032982152,8.5,
RIS_S2_Sweep_2016_1,Sweep,2016,RIS_S_2016,RIS,RIS_S_2016,RIS_S,90,1,188,No,,,Yes,SLS,14.43,orth,7.032982152,8.5,
RIS_S2_Vacuum_2017_2,Vacuum,2017,RIS_S_2017,RIS,RIS_S_2017,RIS_S,80,1,188,No,,,Yes,SLS,12.15,orth,7.032982152,8.5,
RNR_C1_Sweep_2016_1,Sweep,2016,RNR_C_2016,RNR,RNR_C_2016,RNR_C,80,4,187,No,,,No,None,11.92,orth,7.032982152,8.5,
RNR_C1_Sweep_2016_2,Sweep,2016,RNR_C_2016,RNR,RNR_C_2016,RNR_C,85,8,213,No,,,No,None,11.3,orth,7.032982152,8.5,
RNR_C1_Sweep_2017_2,Sweep,2017,RNR_C_2017,RNR,RNR_C_2017,RNR_C,85,0,204,No,,,No,None,11.37,orth,7.032982152,8.5,
RNR_C1_Vacuum_2016_2,Vacuum,2016,RNR_C_2016,RNR,RNR_C_2016,RNR_C,85,8,213,No,,,No,None,11.3,orth,7.032982152,8.5,
RNR_C2_Sweep_2016_1,Sweep,2016,RNR_C_2016,RNR,RNR_C_2016,RNR_C,80,4,187,No,,,No,None,12.33,orth,7.032982152,8.5,
RNR_E1_Sweep_2016_1,Sweep,2016,RNR_E_2016,RNR,RNR_E_2016,RNR_E,98,1,187,No,,,No,None,12.13,orth,7.032982152,8.5,
RNR_E1_Sweep_2017_1,Sweep,2017,RNR_E_2017,RNR,RNR_E_2017,RNR_E,80,0,178,No,,,No,None,10.25,orth,7.032982152,8.5,
RNR_E1_Sweep_2017_2,Sweep,2017,RNR_E_2017,RNR,RNR_E_2017,RNR_E,85,0,204,No,,,No,None,10.8,orth,7.032982152,8.5,
RNR_E2_Sweep_2016_1,Sweep,2016,RNR_E_2016,RNR,RNR_E_2016,RNR_E,98,1,187,No,,,No,None,12.75,orth,7.032982152,8.5,
RNR_E2_Sweep_2016_2,Sweep,2016,RNR_E_2016,RNR,RNR_E_2016,RNR_E,80,4,213,No,,,No,None,10.82,orth,7.032982152,8.5,
RNR_E2_Sweep_2017_1,Sweep,2017,RNR_E_2017,RNR,RNR_E_2017,RNR_E,80,0,178,No,,,No,None,13.5,orth,7.032982152,8.5,
RNR_E2_Sweep_2017_2,Sweep,2017,RNR_E_2017,RNR,RNR_E_2017,RNR_E,85,0,204,No,,,No,None,11.17,orth,7.032982152,8.5,
DUN_C1_Sweep_2017_1,Sweep,2017,DUN_C_2017,DUN,DUN_C_2017,DUN_C,80,4,181,No,2.5,Con,No,None,13.23,orth,7.032982152,8.5,
